id,name,county_id
1,Aba,6
2,Abádszalók,10
3,Abaliget,2
4,Abasár,9
5,Abaújalpár,4
6,Abaújkér,4
7,Abaújlak,4
8,Abaújszántó,4
9,Abaújszolnok,4
10,Abaújvár,4
11,Abda,7
12,Abod,4
13,Abony,13
14,Ábrahámhegy,18
15,Ács,11
16,Acsa,13
17,Acsád,17
18,Acsalag,7
19,Ácsteszér,11
20,Adács,9
21,Ádánd,14
22,Adásztevel,18
23,Adony,6
24,Adorjánháza,18
25,Adorjás,2
26,Ág,2
27,Ágasegyháza,1
28,Ágfalva,7
29,Aggtelek,4
30,Agyagosszergény,7
31,Ajak,15
32,Ajka,18
33,Aka,11
34,Akasztó,1
35,Alacska,4
36,Alap,6
37,Alattyán,10
38,Albertirsa,13
39,Alcsútdoboz,6
40,Aldebr?,9
41,Algy?,5
42,Alibánfa,19
43,Almamellék,2
44,Almásfüzit?,11
45,Almásháza,19
46,Almáskamarás,3
47,Almáskeresztúr,2
48,Álmosd,8
49,Alsóberecki,4
50,Alsóbogát,14
51,Alsódobsza,4
52,Alsógagy,4
53,Alsómocsolád,2
54,Alsónána,16
55,Alsónémedi,13
56,Alsónemesapáti,19
57,Alsónyék,16
58,Alsóörs,18
59,Alsópáhok,19
60,Alsópetény,12
61,Alsórajk,19
62,Alsóregmec,4
63,Alsószenterzsébet,19
64,Alsószentiván,6
65,Alsószentmárton,2
66,Alsószölnök,17
67,Alsószuha,4
68,Alsótelekes,4
69,Alsótold,12
70,Alsóújlak,17
71,Alsóvadász,4
72,Alsózsolca,4
73,Ambrózfalva,5
74,Anarcs,15
75,Andocs,14
76,Andornaktálya,9
77,Andrásfa,17
78,Annavölgy,11
79,Apácatorna,18
80,Apagy,15
81,Apaj,13
82,Aparhant,16
83,Apátfalva,5
84,Apátistvánfalva,17
85,Apátvarasd,2
86,Apc,9
87,Áporka,13
88,Apostag,1
89,Aranyosapáti,15
90,Aranyosgadány,2
91,Arka,4
92,Arló,4
93,Arnót,4
94,Árokt?,4
95,Árpádhalom,5
96,Árpás,7
97,Ártánd,8
98,Ásotthalom,5
99,Ásványráró,7
100,Aszaló,4
101,Aszód,13
102,Aszóf?,18
103,Áta,2
104,Átány,9
105,Atkár,9
106,Attala,16
107,Babarc,2
108,Babarcsz?l?s,2
109,Babócsa,14
110,Bábolna,11
111,Bábonymegyer,14
112,Babosdöbréte,19
113,Babót,7
114,Bácsalmás,1
115,Bácsbokod,1
116,Bácsborsód,1
117,Bácsszentgyörgy,1
118,Bácssz?l?s,1
119,Badacsonytomaj,18
120,Badacsonytördemic,18
121,Bag,13
122,Bagamér,8
123,Baglad,19
124,Bagod,19
125,Bágyogszovát,7
126,Baj,11
127,Baja,1
128,Bajánsenye,17
129,Bajna,11
130,Bajót,11
131,Bak,19
132,Bakháza,14
133,Bakóca,2
134,Bakonszeg,8
135,Bakonya,2
136,Bakonybánk,11
137,Bakonybél,18
138,Bakonycsernye,6
139,Bakonygyirót,18
140,Bakonyjákó,18
141,Bakonykoppány,18
142,Bakonykúti,6
143,Bakonynána,18
144,Bakonyoszlop,18
145,Bakonypéterd,7
146,Bakonypölöske,18
147,Bakonyság,18
148,Bakonysárkány,11
149,Bakonyszentiván,18
150,Bakonyszentkirály,18
151,Bakonyszentlászló,18
152,Bakonyszombathely,11
153,Bakonyszücs,18
154,Bakonytamási,18
155,Baks,5
156,Baksa,2
157,Baktakék,4
158,Baktalórántháza,15
159,Baktüttös,19
160,Balajt,4
161,Balassagyarmat,12
162,Balástya,5
163,Balaton,9
164,Balatonakali,18
165,Balatonalmádi,18
166,Balatonberény,14
167,Balatonboglár,14
168,Balatoncsicsó,18
169,Balatonederics,18
170,Balatonendréd,14
171,Balatonfenyves,14
172,Balatonf?kajár,18
173,Balatonföldvár,14
174,Balatonfüred,18
175,Balatonf?zf?,18
176,Balatongyörök,19
177,Balatonhenye,18
178,Balatonkenese,18
179,Balatonkeresztúr,14
180,Balatonlelle,14
181,Balatonmagyaród,19
182,Balatonmáriafürd?,14
183,Balaton?szöd,14
184,Balatonrendes,18
185,Balatonszabadi,14
186,Balatonszárszó,14
187,Balatonszemes,14
188,Balatonszentgyörgy,14
189,Balatonszepezd,18
190,Balatonsz?l?s,18
191,Balatonudvari,18
192,Balatonújlak,14
193,Balatonvilágos,18
194,Balinka,6
195,Balkány,15
196,Ballószög,1
197,Balmazújváros,8
198,Balogunyom,17
199,Balotaszállás,1
200,Balsa,15
201,Bálványos,14
202,Bana,11
203,Bánd,18
204,Bánfa,2
205,Bánhorváti,4
206,Bánk,12
207,Bánokszentgyörgy,19
208,Bánréve,4
209,Bár,2
210,Barabás,15
211,Baracs,6
212,Baracska,6
213,Báránd,8
214,Baranyahidvég,2
215,Baranyajen?,2
216,Baranyaszentgyörgy,2
217,Barbacs,7
218,Barcs,14
219,Bárdudvarnok,14
220,Barlahida,19
221,Bárna,12
222,Barnag,18
223,Bársonyos,11
224,Basal,2
225,Baskó,4
226,Báta,16
227,Bátaapáti,16
228,Bátaszék,16
229,Baté,14
230,Bátmonostor,1
231,Bátonyterenye,12
232,Bátor,9
233,Bátorliget,15
234,Battonya,3
235,Bátya,1
236,Batyk,19
237,Bázakerettye,19
238,Bazsi,18
239,Béb,18
240,Becsehely,19
241,Becske,12
242,Becskeháza,4
243,Becsvölgye,19
244,Bedegkér,14
245,Bed?,8
246,Bejcgyertyános,17
247,Békás,18
248,Bekecs,4
249,Békés,3
250,Békéscsaba,3
251,Békéssámson,3
252,Békésszentandrás,3
253,Bekölce,9
254,Bélapátfalva,9
255,Bélavár,14
256,Belecska,16
257,Beled,7
258,Beleg,14
259,Belezna,19
260,Bélmegyer,3
261,Beloiannisz,6
262,Bels?sárd,19
263,Belvárdgyula,2
264,Benk,15
265,Bénye,13
266,Bér,12
267,Bérbaltavár,17
268,Bercel,12
269,Beregdaróc,15
270,Beregsurány,15
271,Berekböszörmény,8
272,Berekfürd?,10
273,Beremend,2
274,Berente,4
275,Beret,4
276,Berettyóújfalu,8
277,Berhida,18
278,Berkenye,12
279,Berkesd,2
280,Berkesz,15
281,Bernecebaráti,13
282,Berzék,4
283,Berzence,14
284,Besence,2
285,Beseny?d,15
286,Beseny?telek,9
287,Besenyszög,10
288,Besny?,6
289,Beszterec,15
290,Bezedek,2
291,Bezenye,7
292,Bezeréd,19
293,Bezi,7
294,Biatorbágy,13
295,Bicsérd,2
296,Bicske,6
297,Bihardancsháza,8
298,Biharkeresztes,8
299,Biharnagybajom,8
300,Bihartorda,8
301,Biharugra,3
302,Bikács,16
303,Bikal,2
304,Biri,15
305,Birján,2
306,Bisse,2
307,B?,17
308,Boba,19
309,Bocfölde,9
310,Boconád,1
311,B?cs,19
312,Bócsa,8
313,Bocska,2
314,Bocskaikert,6
315,Boda,6
316,Bodajk,2
317,Böde,7
318,Bödeháza,9
319,Bodmér,18
320,Bodolyabér,14
321,Bodonhely,4
322,Bodony,4
323,Bodorfa,4
324,Bodrog,4
325,Bodroghalom,4
326,Bodrogkeresztúr,4
327,Bodrogkisfalud,4
328,Bodrogolaszi,4
329,Bódvalenke,2
330,Bódvarákó,2
331,Bódvaszilas,2
332,Bogács,16
333,Bogád,7
334,Bogádmindszent,8
